,Unnamed: 0,date,index,day_index,ticker,close,volume,vwap,change
0,35328,3/15/2018,35328,0,DISCA,23.4,5132212,23.5391,0.0
1,35329,3/16/2018,35329,0,DISCA,23.21,5272350,23.3593,-0.18999999999999773
2,35330,3/19/2018,35330,0,DISCA,22.95,3862953,22.9155,-0.26000000000000156
3,35331,3/20/2018,35331,0,DISCA,21.99,7741271,22.2818,-0.9600000000000009
4,35332,3/21/2018,35332,0,DISCA,22.16,7385756,22.2468,0.1700000000000017
5,35333,3/22/2018,35333,0,DISCA,21.52,11906332,21.6494,-0.6400000000000006
6,35334,3/23/2018,35334,0,DISCA,21.08,5049403,21.4033,-0.4400000000000013
7,35335,3/26/2018,35335,0,DISCA,21.74,9728357,21.4906,0.6600000000000001
8,35336,3/27/2018,35336,0,DISCA,21.68,4162452,21.7593,-0.05999999999999872
9,35337,3/28/2018,35337,0,DISCA,21.17,4578942,21.4567,-0.509999999999998
10,35338,3/29/2018,35338,0,DISCA,21.43,6121066,21.3476,0.259999999999998
11,35339,4/2/2018,35339,0,DISCA,21.58,6425394,21.7491,0.14999999999999858
12,35340,4/3/2018,35340,0,DISCA,22.03,4369218,21.7383,0.45000000000000284
13,35341,4/4/2018,35341,0,DISCA,22.54,4248815,22.3212,0.509999999999998
14,35342,4/5/2018,35342,0,DISCA,22.63,4301651,22.5969,0.08999999999999986
15,35343,4/6/2018,35343,0,DISCA,22.62,5525386,22.7053,-0.00999999999999801
16,35344,4/9/2018,35344,0,DISCA,22.53,2543845,22.6778,-0.08999999999999986
17,35345,4/10/2018,35345,0,DISCA,22.6,4071378,22.6999,0.07000000000000028
18,35346,4/11/2018,35346,0,DISCA,22.55,6434770,22.4679,-0.05000000000000071
19,35347,4/12/2018,35347,0,DISCA,23.18,5765019,22.9188,0.629999999999999
20,35348,4/13/2018,35348,0,DISCA,22.83,4972873,22.8875,-0.3500000000000014
21,35349,4/16/2018,35349,0,DISCA,23.4,4079049,23.1486,0.5700000000000003
22,35350,4/17/2018,35350,0,DISCA,23.77,4227772,23.6931,0.370000000000001
23,35351,4/18/2018,35351,0,DISCA,23.51,3468000,23.7606,-0.259999999999998
24,35352,4/19/2018,35352,0,DISCA,23.38,3914933,23.4669,-0.13000000000000256
25,35353,4/20/2018,35353,0,DISCA,23.16,5190073,23.191,-0.21999999999999886
26,35354,4/23/2018,35354,0,DISCA,23.77,5198007,23.6427,0.6099999999999994
27,35355,4/24/2018,35355,0,DISCA,23.94,5833373,24.2414,0.1700000000000017
28,35356,4/25/2018,35356,0,DISCA,24.1,4580310,24.0305,0.16000000000000014
29,35357,4/26/2018,35357,0,DISCA,24.15,4454292,24.0867,0.04999999999999716
30,35358,4/27/2018,35358,0,DISCA,23.95,5760254,23.9784,-0.1999999999999993
31,35359,4/30/2018,35359,0,DISCA,23.65,3933884,23.7545,-0.3000000000000007
32,35360,5/1/2018,35360,0,DISCA,24.01,4864953,23.9187,0.360000000000003
33,35361,5/2/2018,35361,0,DISCA,23.58,7725104,23.9483,-0.43000000000000327
34,35362,5/3/2018,35362,0,DISCA,22.87,9229892,22.8931,-0.7099999999999973
35,35363,5/4/2018,35363,0,DISCA,23.16,7838071,23.1551,0.28999999999999915
36,35364,5/7/2018,35364,0,DISCA,23.39,5459663,23.26,0.23000000000000043
37,35365,5/8/2018,35365,0,DISCA,23.05,10834917,23.7371,-0.33999999999999986
38,35366,5/9/2018,35366,0,DISCA,22.28,8226545,22.4914,-0.7699999999999996
39,35367,5/10/2018,35367,0,DISCA,23.82,7515656,23.3388,1.5399999999999991
40,35368,5/11/2018,35368,0,DISCA,24.03,6370102,23.9904,0.21000000000000085
41,35369,5/14/2018,35369,0,DISCA,23.83,6634433,23.7582,-0.20000000000000284
42,35370,5/15/2018,35370,0,DISCA,22.96,5618242,23.1452,-0.8699999999999974
43,35371,5/16/2018,35371,0,DISCA,23.69,7616844,23.3812,0.7300000000000004
44,35372,5/17/2018,35372,0,DISCA,23.02,7260411,23.0516,-0.6700000000000017
45,35373,5/18/2018,35373,0,DISCA,22.57,5861111,22.5974,-0.4499999999999993
46,35374,5/21/2018,35374,0,DISCA,22.63,3717147,22.669,0.05999999999999872
47,35375,5/22/2018,35375,0,DISCA,23.16,4489237,23.0915,0.5300000000000011
48,35376,5/23/2018,35376,0,DISCA,22.57,3726167,22.5456,-0.5899999999999999
49,35377,5/24/2018,35377,0,DISCA,22.48,3541272,22.3663,-0.08999999999999986
50,35378,5/25/2018,35378,0,DISCA,22.34,2153441,22.3692,-0.14000000000000057
51,35379,5/29/2018,35379,0,DISCA,21.9,3358327,21.9106,-0.4400000000000013
52,35380,5/30/2018,35380,0,DISCA,21.4,5103245,21.6167,-0.5
53,35381,5/31/2018,35381,0,DISCA,21.09,7977009,20.9101,-0.3099999999999987
54,35382,6/1/2018,35382,0,DISCA,20.95,6303553,20.924,-0.14000000000000057
55,35383,6/4/2018,35383,0,DISCA,21.09,6746410,21.0036,0.14000000000000057
56,35384,6/5/2018,35384,0,DISCA,21.74,6744598,21.7594,0.6499999999999986
57,35385,6/6/2018,35385,0,DISCA,22.36,6774512,22.021,0.620000000000001
58,35386,6/7/2018,35386,0,DISCA,22.77,5757685,22.6374,0.41000000000000014
59,35387,6/8/2018,35387,0,DISCA,23.02,5564430,22.9695,0.25
60,35388,6/11/2018,35388,0,DISCA,23.89,6169924,24.0167,0.870000000000001
61,35389,6/12/2018,35389,0,DISCA,24.02,5840958,23.9094,0.129999999999999
62,35390,6/13/2018,35390,0,DISCA,24.41,10595857,24.8343,0.39000000000000057
63,35391,6/14/2018,35391,0,DISCA,25.5,5015140,25.2979,1.0899999999999999
64,35392,6/15/2018,35392,0,DISCA,27.17,12567087,26.7011,1.6700000000000017
65,35393,6/18/2018,35393,0,DISCA,27.21,7720021,26.8592,0.03999999999999915
66,35394,6/19/2018,35394,0,DISCA,27.55,6021449,27.2883,0.33999999999999986
67,35395,6/20/2018,35395,0,DISCA,28.21,7444348,28.0774,0.6600000000000001
68,35396,6/21/2018,35396,0,DISCA,27.94,6058241,27.9436,-0.2699999999999996
69,35397,6/22/2018,35397,0,DISCA,28.12,5448730,28.1892,0.17999999999999972
