,Unnamed: 0,date,index,day_index,ticker,close,volume,vwap,change
0,127028,3/15/2018,127028,0,XRX,29.8038,2608488,29.6757,0.0
1,127029,3/16/2018,127029,0,XRX,29.8518,2376375,29.9001,0.04800000000000182
2,127030,3/19/2018,127030,0,XRX,28.9783,3109172,29.1587,-0.8734999999999999
3,127031,3/20/2018,127031,0,XRX,29.583,3160530,29.6416,0.6046999999999976
4,127032,3/21/2018,127032,0,XRX,29.6214,2322779,29.695,0.038400000000002876
5,127033,3/22/2018,127033,0,XRX,28.604,2410231,28.736,-1.017400000000002
6,127034,3/23/2018,127034,0,XRX,27.6441,2418297,27.9921,-0.9598999999999975
7,127035,3/26/2018,127035,0,XRX,28.22,2414364,28.071,0.5758999999999972
8,127036,3/27/2018,127036,0,XRX,27.8361,2453154,28.0323,-0.3839000000000006
9,127037,3/28/2018,127037,0,XRX,27.9329,2527681,27.7909,0.09680000000000177
10,127038,3/29/2018,127038,0,XRX,27.8651,1962674,27.8773,-0.0677999999999983
11,127039,4/2/2018,127039,0,XRX,27.168000000000006,1780348,27.2185,-0.6970999999999954
12,127040,4/3/2018,127040,0,XRX,27.0325,1796981,27.0469,-0.1355000000000075
13,127041,4/4/2018,127041,0,XRX,27.4101,3230778,27.2153,0.37760000000000105
14,127042,4/5/2018,127042,0,XRX,27.381,988762,27.361,-0.02909999999999968
15,127043,4/6/2018,127043,0,XRX,27.0906,2090390,27.198,-0.29040000000000177
16,127044,4/9/2018,127044,0,XRX,26.6549,2040492,26.8673,-0.4356999999999971
17,127045,4/10/2018,127045,0,XRX,27.4198,1479135,27.3744,0.7648999999999972
18,127046,4/11/2018,127046,0,XRX,27.352,814999,27.3506,-0.0677999999999983
19,127047,4/12/2018,127047,0,XRX,27.3326,1658106,27.4281,-0.019400000000000972
20,127048,4/13/2018,127048,0,XRX,27.2745,1205884,27.3798,-0.058099999999999596
21,127049,4/16/2018,127049,0,XRX,28.1362,1974123,27.9734,0.861699999999999
22,127050,4/17/2018,127050,0,XRX,29.027,3179660,28.8994,0.8908000000000023
23,127051,4/18/2018,127051,0,XRX,29.3078,3828690,29.3799,0.2807999999999993
24,127052,4/19/2018,127052,0,XRX,29.3659,2543369,29.3981,0.058099999999999596
25,127053,4/20/2018,127053,0,XRX,30.5374,4606796,30.2883,1.1715000000000018
26,127054,4/23/2018,127054,0,XRX,30.2082,2617425,30.0748,-0.32920000000000016
27,127055,4/24/2018,127055,0,XRX,29.7241,1698687,29.7045,-0.48410000000000153
28,127056,4/25/2018,127056,0,XRX,29.666,993084,29.5492,-0.058099999999999596
29,127057,4/26/2018,127057,0,XRX,29.453000000000007,1287787,29.4918,-0.21299999999999386
30,127058,4/27/2018,127058,0,XRX,30.2857,1865184,30.1998,0.832699999999992
31,127059,4/30/2018,127059,0,XRX,30.4503,2053176,30.3872,0.16460000000000008
32,127060,5/1/2018,127060,0,XRX,31.2636,3302042,30.9894,0.8133000000000017
33,127061,5/2/2018,127061,0,XRX,28.4461,8017896,29.3694,-2.817499999999999
34,127062,5/3/2018,127062,0,XRX,27.4101,5107310,27.5239,-1.0360000000000014
35,127063,5/4/2018,127063,0,XRX,27.4778,3043619,27.4842,0.06769999999999854
36,127064,5/7/2018,127064,0,XRX,27.5553,4832314,27.3192,0.07750000000000057
37,127065,5/8/2018,127065,0,XRX,27.4778,3520412,27.4048,-0.07750000000000057
38,127066,5/9/2018,127066,0,XRX,27.9135,3114279,27.7957,0.43570000000000064
39,127067,5/10/2018,127067,0,XRX,28.3976,1483100,28.2233,0.48410000000000153
40,127068,5/11/2018,127068,0,XRX,29.2109,3542660,29.1446,0.8132999999999981
41,127069,5/14/2018,127069,0,XRX,27.9523,11700445,27.289,-1.2585999999999977
42,127070,5/15/2018,127070,0,XRX,27.6037,2602691,27.6686,-0.34860000000000113
43,127071,5/16/2018,127071,0,XRX,27.6424,1764099,27.6133,0.038699999999998624
44,127072,5/17/2018,127072,0,XRX,27.565,1641635,27.6666,-0.07739999999999725
45,127073,5/18/2018,127073,0,XRX,27.2939,2077876,27.3899,-0.27110000000000056
46,127074,5/21/2018,127074,0,XRX,27.0906,2369963,27.1591,-0.20330000000000226
47,127075,5/22/2018,127075,0,XRX,27.2358,2742749,27.1898,0.14520000000000266
48,127076,5/23/2018,127076,0,XRX,27.139,1781975,27.1455,-0.09680000000000177
49,127077,5/24/2018,127077,0,XRX,27.2164,1633999,27.1905,0.0774000000000008
50,127078,5/25/2018,127078,0,XRX,27.0228,1186313,27.0523,-0.1936
51,127079,5/29/2018,127079,0,XRX,26.8679,2156033,26.8643,-0.15490000000000137
52,127080,5/30/2018,127080,0,XRX,26.8969,2099820,26.9129,0.028999999999999915
53,127081,5/31/2018,127081,0,XRX,26.316,4482658,26.4812,-0.5808999999999997
54,127082,6/1/2018,127082,0,XRX,26.4806,2234297,26.4102,0.16460000000000008
55,127083,6/4/2018,127083,0,XRX,26.5,1805923,26.5513,0.019400000000000972
56,127084,6/5/2018,127084,0,XRX,26.8001,3919035,26.9557,0.3001000000000005
57,127085,6/6/2018,127085,0,XRX,26.8001,1935617,26.732,0.0
58,127086,6/7/2018,127086,0,XRX,26.6065,2487354,26.6194,-0.1936
59,127087,6/8/2018,127087,0,XRX,27.0228,2034281,26.9097,0.41629999999999967
60,127088,6/11/2018,127088,0,XRX,27.2261,1662808,27.2053,0.2032999999999987
61,127089,6/12/2018,127089,0,XRX,26.8485,1871008,26.8939,-0.3775999999999975
62,127090,6/13/2018,127090,0,XRX,26.7033,2356322,26.7755,-0.14520000000000266
63,127091,6/14/2018,127091,0,XRX,26.8582,1858579,26.848000000000006,0.15490000000000137
64,127092,6/15/2018,127092,0,XRX,26.5387,3553128,26.5589,-0.31950000000000145
65,127093,6/18/2018,127093,0,XRX,26.3741,2232673,26.3849,-0.16460000000000008
66,127094,6/19/2018,127094,0,XRX,26.6549,2174362,26.5127,0.2808000000000028
67,127095,6/20/2018,127095,0,XRX,26.3838,1181164,26.4876,-0.27110000000000056
68,127096,6/21/2018,127096,0,XRX,25.6092,2746517,25.7527,-0.7745999999999995
69,127097,6/22/2018,127097,0,XRX,25.5608,3473079,25.5932,-0.04840000000000089
70,127098,6/25/2018,127098,0,XRX,24.641,3036413,24.8752,-0.9198000000000022
71,127099,6/26/2018,127099,0,XRX,24.5248,2312406,24.5559,-0.11619999999999919
72,127100,6/27/2018,127100,0,XRX,23.7309,3781550,23.8815,-0.7939000000000007
