,Unnamed: 0,Unnamed: 0.1,date,index,day_index,ticker,close,volume,vwap,change,P/E,EPS,PEG
0,0,30976,3/15/2018,30976,0,CSX,56.0333,5018746,56.0475,0.0,0.0,0,0.0
1,1,30977,3/16/2018,30977,0,CSX,56.2012,8754202,56.2726,0.16790000000000305,0.0,0,0.0
2,2,30978,3/19/2018,30978,0,CSX,55.9741,4583315,55.7472,-0.2271000000000001,0.0,0,0.0
3,3,30979,3/20/2018,30979,0,CSX,56.2505,3595023,56.3779,0.2764000000000024,0.0,0,0.0
4,4,30980,3/21/2018,30980,0,CSX,56.1814,3806813,56.5292,-0.06910000000000592,0.0,0,0.0
5,5,30981,3/22/2018,30981,0,CSX,54.5918,5113336,55.1106,-1.5895999999999972,0.0,0,0.0
6,6,30982,3/23/2018,30982,0,CSX,53.5846,5257249,54.4364,-1.0071999999999974,0.0,0,0.0
7,7,30983,3/26/2018,30983,0,CSX,54.9472,5647384,54.5613,1.3626000000000005,0.0,0,0.0
8,8,30984,3/27/2018,30984,0,CSX,54.0092,5470283,54.7114,-0.9380000000000024,0.0,0,0.0
9,9,30985,3/28/2018,30985,0,CSX,53.6241,7638134,53.6623,-0.3851000000000013,0.0,0,0.0
10,10,30986,3/29/2018,30986,0,CSX,55.0064,4948717,55.0024,1.3823000000000008,0.0,0,0.0
11,11,30987,4/2/2018,30987,0,CSX,54.0487,5791160,53.9587,-0.9577000000000028,0.0,0,0.0
12,12,30988,4/3/2018,30988,0,CSX,55.0262,6100026,54.803999999999995,0.9775000000000064,0.0,0,0.0
13,13,30989,4/4/2018,30989,0,CSX,54.7695,6046184,54.4956,-0.2567000000000021,0.0,0,0.0
14,14,30990,4/5/2018,30990,0,CSX,54.8978,4924690,54.7327,0.12829999999999586,0.0,0,0.0
15,15,30991,4/6/2018,30991,0,CSX,53.6636,5405293,53.7274,-1.2341999999999942,0.0,0,0.0
16,16,30992,4/9/2018,30992,0,CSX,53.7327,4604541,54.229,0.06909999999999883,0.0,0,0.0
17,17,30993,4/10/2018,30993,0,CSX,54.5621,5214507,54.7086,0.8293999999999997,0.0,0,0.0
18,18,30994,4/11/2018,30994,0,CSX,54.3153,4951841,54.2827,-0.24680000000000035,0.0,0,0.0
19,19,30995,4/12/2018,30995,0,CSX,55.4014,7446547,55.4636,1.0861000000000018,0.0,0,0.0
20,20,30996,4/13/2018,30996,0,CSX,54.88800000000001,4956380,55.1501,-0.5133999999999901,0.0,0,0.0
21,21,30997,4/16/2018,30997,0,CSX,55.6976,8621843,55.6691,0.809599999999989,0.0,0,0.0
22,22,30998,4/17/2018,30998,0,CSX,55.8556,6937005,55.8079,0.15800000000000125,0.0,0,0.0
23,23,30999,4/18/2018,30999,0,CSX,60.2395,20293641,59.5063,4.383899999999997,0.0,0,0.0
